package,import_name,layer,framework,down_pkgs,gh_downstream,woc_downstream,comb_downstream
face-detection-tflite,fdlite,2,tensorflow,0,0,0,0
embryoseg,embryoseg,2,tensorflow,0,0,0,0
recommender-pkg,recpkg,2,tensorflow,0,0,0,0
hypergol,hypergol,2,tensorflow,0,4,4,4
studioml,studio,2,tensorflow,0,5,145,149
model-converters,model_converters,2,tensorflow,0,0,4,4
model-converters,model_converters,3,tensorflow,0,0,4,4
pyCeterisParibus,ceteris_paribus,3,tensorflow,0,2,6,7
pyCeterisParibus,ceteris_paribus,2,tensorflow,0,2,6,7
deepforest,deepforest,2,tensorflow,0,21,19,37
DeepNN,,3,tensorflow,0,0,0,0
sibyl-ai,sibyl,2,tensorflow,0,0,30,30
cressp,cressp,3,tensorflow,0,0,0,0
cressp,cressp,2,tensorflow,0,0,0,0
tutti-aisthetics-slim,tutti_aisthetics_slim,2,tensorflow,0,0,0,0
kerassurgeon,,2,tensorflow,0,0,0,0
meta-optimize,meta_optimize,3,tensorflow,0,0,0,0
meguru-tokenizer,meguru_tokenizer,2,tensorflow,0,0,1,1
tf-pose,,2,tensorflow,0,0,0,0
smartcare,smartcare,2,tensorflow,0,0,1,1
glom-tf,glomtf,2,tensorflow,0,0,0,0
Orange3-MNE,Orange3MNE,2,tensorflow,0,0,0,0
Orange3-MNE,Orange3MNE,4,tensorflow,0,0,0,0
ryakugo-pkg,,2,tensorflow,0,0,0,0
tropic-learn,,2,tensorflow,0,0,0,0
monk-cuda100,,2,tensorflow,0,0,0,0
tensorflow-serving-client,tensorflow_serving_client,3,tensorflow,2,0,17,17
tensorflow-serving-client,tensorflow_serving_client,2,tensorflow,2,0,17,17
polaris-ml,polaris,3,tensorflow,0,0,37,37
ersilia,ersilia,3,tensorflow,0,0,3,3
IBATS-Huobi-Trader,ibats_huobi_trader,4,tensorflow,0,0,3,3
IBATS-Huobi-Trader,ibats_huobi_trader,3,tensorflow,0,0,3,3
graph-search,graph_search,3,tensorflow,0,0,153,153
successor,successor,2,tensorflow,0,2,24,26
fife,fife,2,tensorflow,0,1,49,49
linora,linora,2,tensorflow,1,3,5,7
ISR,ISR,2,tensorflow,0,0,99,99
pyfoal,pyfoal,3,tensorflow,0,2,0,2
tensorflow-tracer,tftracer,2,tensorflow,0,2,3,4
tensorflow-coder,tf_coder,2,tensorflow,0,0,2,2
hotaru,,2,tensorflow,0,0,0,0
Potofox,potofox,3,tensorflow,0,0,0,0
hindiwsd,hindiwsd,2,tensorflow,0,0,0,0
pitchr,pitchr,2,tensorflow,0,1,1,2
paso,paso,3,tensorflow,0,0,18,18
dvt,dvt,2,tensorflow,0,0,6,6
dlt,dlt,2,tensorflow,0,4,50,52
model-zoo,model_zoo,2,tensorflow,0,11,288,294
PsychRNN,psychrnn,2,tensorflow,0,0,2,2
sklearn-plus,sklearn_plus,2,tensorflow,0,0,2,2
basaka,berserker,2,tensorflow,0,0,7,7
roxyai-inspect,,2,tensorflow,0,0,0,0
phrase-tokenizer,,2,tensorflow,0,0,0,0
sonia,sonia,2,tensorflow,1,4,9,11
m3-dl,m3_dl,2,tensorflow,0,0,1,1
tensorflow-tensorboard,tensorboard,2,tensorflow,7,0,4319,4319
ultrayolo,ultrayolo,2,tensorflow,0,0,2,2
ultrayolo,ultrayolo,3,tensorflow,0,0,2,2
replay-monitor,replay_monitor,2,tensorflow,0,0,1,1
face-mask-detection-model-grace-qui,,2,tensorflow,0,0,0,0
nomeroff-net,NomeroffNet,3,tensorflow,0,1,28,29
nomeroff-net,NomeroffNet,2,tensorflow,0,1,28,29
xidi-ai,xidi_ai,2,tensorflow,0,0,0,0
devbio-napari,devbio,3,tensorflow,0,0,0,0
optimization-dashboard,,3,tensorflow,0,0,0,0
cvtron,cvtron,2,tensorflow,0,0,2,2
learnbot-dsl,,2,tensorflow,0,0,0,0
email-try2-classification,,2,tensorflow,0,0,0,0
astrorapid,astrorapid,2,tensorflow,0,3,7,8
astrorapid,astrorapid,3,tensorflow,0,3,7,8
polypoly,polypoly,2,tensorflow,0,0,0,0
o4,o4,2,tensorflow,0,0,1,1
ml4a,ml4a,2,tensorflow,0,2,2,3
retinaface,,2,tensorflow,0,9,0,9
hpb-mumc-dashboard,hpb_mumc_dashboard,3,tensorflow,0,0,0,0
raylab,,3,tensorflow,0,0,0,0
tensorpy,tensorpy,2,tensorflow,0,0,3,3
auto-cnn,auto_cnn,2,tensorflow,0,0,1,1
quple,quple,2,tensorflow,0,0,0,0
xplainer,xplainer,2,tensorflow,0,0,1,1
tf-summary-reader,tf_summary_reader,2,tensorflow,1,0,2,2
azureml-contrib-brainwave,,2,tensorflow,0,0,0,0
alltime,,2,tensorflow,0,0,0,0
tf-train,tf_train,2,tensorflow,0,0,24,24
imnn-tf,imnn_tf,2,tensorflow,0,0,0,0
fastestimator,fastestimator,2,tensorflow,0,0,7,7
ml-dataset,,2,tensorflow,0,0,0,0
forecasttime,forecasttime,2,tensorflow,0,0,0,0
musket-ml,musket_ml,4,tensorflow,0,0,0,0
musket-ml,musket_ml,3,tensorflow,0,0,0,0
board-game-recommender,board_game_recommender,3,tensorflow,0,0,2,2
ocr4all-pixel-classifier-frontend,ocr4all_pixel_classifier_frontend,3,tensorflow,0,0,0,0
ocr4all-pixel-classifier-frontend,ocr4all_pixel_classifier_frontend,2,tensorflow,0,0,0,0
SpaDecon,SpaDecon,2,tensorflow,0,0,0,0
tftk,,2,tensorflow,0,0,0,0
bestOf,bestOf,2,tensorflow,0,0,0,0
ringkasan,,3,tensorflow,0,0,0,0
ringkasan,,2,tensorflow,0,0,0,0
pororo,pororo,3,tensorflow,1,36,2,38
imagededup,,2,tensorflow,3,0,0,0
unlockNN,unlocknn,2,tensorflow,0,0,0,0
lauztat,lauztat,3,tensorflow,0,0,1,1
ceml,ceml,2,tensorflow,0,2,3,5
ingine,ingine,2,tensorflow,0,0,1,1
easyfacenet,easyfacenet,2,tensorflow,0,0,10,10
rnnt,rnnt,2,tensorflow,0,0,8,8
arkab,arkab,3,tensorflow,0,0,0,0
FF-profiler,,2,tensorflow,0,0,0,0
cdt-test,cdt,2,tensorflow,0,0,50,50
pymia,pymia,2,tensorflow,0,0,11,11
hyperpose,hyperpose,2,tensorflow,0,0,2,2
SciANN,sciann,2,tensorflow,0,2,6,8
DecoID,DecoID,2,tensorflow,1,1,1,2
segmed,,2,tensorflow,0,0,0,0
ivis,ivis,2,tensorflow,0,13,16,22
flax-extra,flax_extra,2,tensorflow,0,0,0,0
file-io,,2,tensorflow,2,0,0,0
birt-gd,birt,2,tensorflow,0,0,0,0
seq2vec,seq2vec,2,tensorflow,0,0,12,12
hmni,hmni,2,tensorflow,0,2,1,3
vaknl-conversion-model,vaknl_conversion_model,2,tensorflow,0,0,0,0
gemben,gemben,2,tensorflow,0,0,2,2
gemben,gemben,3,tensorflow,0,0,2,2
deepcoil,deepcoil,2,tensorflow,0,0,1,1
superMatch,dloc,2,tensorflow,0,0,0,0
openspacetrainenv,,2,tensorflow,0,0,0,0
prettytensor,prettytensor,2,tensorflow,0,153,367,493
quantumflow,quantumflow,2,tensorflow,1,0,5,5
cloudml-hackathon-tensorboard,,2,tensorflow,0,0,0,0
malaya-speech,malaya_speech,2,tensorflow,0,2,0,2
monk-cuda101-test,,2,tensorflow,0,0,0,0
fate-client,,2,tensorflow,0,0,0,0
ganpy,ganondorf,3,tensorflow,0,0,0,0
ganpy,ganondorf,2,tensorflow,0,0,0,0
treform,treform,2,tensorflow,1,0,0,0
treform,treform,3,tensorflow,1,0,0,0
dnnf,,2,tensorflow,0,0,0,0
dnnf,,3,tensorflow,0,0,0,0
entity-embeddings-categorical,entity_embeddings,2,tensorflow,1,0,1,1
retina-face,,2,tensorflow,2,152,0,152
carla-recourse,carla,2,tensorflow,0,0,1106,1106
easy-tensorflow,easyflow,2,tensorflow,0,0,1,1
grai-Profiler,,2,tensorflow,0,0,0,0
tensorflow-nufft,tensorflow_nufft,2,tensorflow,1,0,0,0
sldatasets,sldatasets,2,tensorflow,0,0,1,1
bs-ds,bs_ds,2,tensorflow,0,0,4,4
azureml-automl-dnn-nlp,,5,tensorflow,0,0,0,0
azureml-automl-dnn-nlp,,3,tensorflow,0,0,0,0
pydiscotools,pydiscotools,2,tensorflow,1,1,1,1
helloworldrm,,3,tensorflow,0,0,0,0
nn-analysis-prednet,,2,tensorflow,0,0,0,0
ergo-ai,ergo,2,tensorflow,0,6,22,28
aspectnlp,aspectnlp,2,tensorflow,0,0,0,0
nudeclient,nudeclient,3,tensorflow,0,0,0,0
DockerENT,DockerENT,4,tensorflow,1,1,1,2
DockerENT,DockerENT,3,tensorflow,1,1,1,2
stonkgs,stonkgs,3,tensorflow,0,0,0,0
xraydawgz,xraydawgz,2,tensorflow,0,0,1,1
at16k,,2,tensorflow,0,0,0,0
kangeras,,2,tensorflow,0,0,0,0
omniscient,omniscient,3,tensorflow,0,0,6,6
nengo-dl,nengo_dl,2,tensorflow,0,0,58,58
rasa-dialogflow-interpreter,rasa_dialogflow_interpreter,3,tensorflow,0,0,1,1
gdemandfcast,,2,tensorflow,0,0,0,0
tensorboard-reporter,tensorboard_reporter,2,tensorflow,0,0,1,1
