name,summary,home_page,layer,dependent_number,dependency
paddlehub,A toolkit for managing pretrained models of PaddlePaddle and helping user getting started with transfer learning more efficiently.,https://github.com/PaddlePaddle/PaddleHub,2,3.0,paddle2onnx
paddlex,PaddlePaddle Entire Process Development Toolkit,https://github.com/PaddlePaddle/PaddleX,2,1.0,paddlehub
sabhiocr-module,Awesome self rolled OCR toolkits based on PaddlePaddle,,2,,paddlehub
sabhiocr-server,Awesome self rolled OCR toolkits based on PaddlePaddle,,2,,paddlehub
paddlefsl,"Few-shot learning(FSL) software tools and examples, building on top of PaddlePaddle2.0.",https://github.com/tata1661/FSL-Mate,2,1.0,paddlenlp
paddlehub,A toolkit for managing pretrained models of PaddlePaddle and helping user getting started with transfer learning more efficiently.,https://github.com/PaddlePaddle/PaddleHub,2,,paddlenlp
appzoo,description,https://github.com/Jie-Yuan/StreamlitApp,2,,paddleocr
nesc,ai for nesc,https://github.com/Jie-Yuan/nesc,2,,paddleocr
paddleocr-sabhi,Package to test the Awesome PaddleOCR,https://github.com/Sabhi-org/PaddleOCRSabhi,2,,paddleocr-sabhi
ddparser,A chinese dependency parser tool by Baidu NLP.,https://github.com/baidu/ddparser,2,,paddlepaddle
fleet-lightning,,https://github.com/PaddlePaddle/Fleet,2,,paddlepaddle
fleet-rec,fleet-rec,https://github.com/seiriosPlus/FleetRec,2,,paddlepaddle
fleet-x,,https://github.com/PaddlePaddle/Fleet,2,,paddlepaddle
idsegmenter,Self Rolled ID Document Segmenter works for IDs in the wild,,2,,paddlepaddle
matatron,Document Verifier,,2,,paddlepaddle
paddle-aistudio,,https://aistudio.baidu.com/,2,,paddlepaddle
paddle-fl,Privacy-Preserving Deep Learning Package Based on PaddlePaddle.,https://github.com/PaddlePaddle/PaddleFL,2,,paddlepaddle
paddle-propeller,high level paddle-paddle API,https://github.com/PaddlePaddle/ERNIE,2,,paddlepaddle
paddle-quantum,Paddle Quantum is a quantum machine learning (QML) toolkit developed based on Baidu PaddlePaddle.,http://qml.baidu.com,2,,paddlepaddle
paddle-rec,paddle-rec,https://github.com/PaddlePaddle/PaddleRec,2,,paddlepaddle
paddle-serving-client,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,2,,paddlepaddle
paddle-serving-server,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,2,,paddlepaddle
paddle-serving-server-gpu,Paddle Serving Package for saved model with PaddlePaddle,https://github.com/PaddlePaddle/Serving,2,,paddlepaddle
paddle-tokenizer,A tokenizer write in PaddlePaddle,https://github.com/howlandersonn/PaddleTokenizer,2,,paddlepaddle
paddlehelix,,,2,,paddlepaddle
paddleocr-sabhi,Package to test the Awesome PaddleOCR,,2,,paddlepaddle
ppcd,SDK about pdrscd,https://github.com/geoyee/PdRSCD,2,,paddlepaddle
pydp,Data Processing Lib,http://www.yanjingang.com/docs/pydp/dp.html,2,,paddlepaddle
pyunit-ner,百度实体抽取模型,https://github.com/PyUnit/pyunit-ner,2,,paddlepaddle
qashi,Self Rolled ID Document Segmenter works for IDs in the wild,,2,,paddlepaddle
rasa-contrib,Addons for Rasa,https://github.com/howl-anderson/rasa_contrib,2,,paddlepaddle
sabhi-utils,Self rolled utils to be used with the Sabhi OCR,,2,6.0,paddlepaddle
sabhidoctools,Document Verifier,,2,,paddlepaddle
sabhiocr-module,Awesome self rolled OCR toolkits based on PaddlePaddle,,2,,paddlepaddle
sabhiocr-server,Awesome self rolled OCR toolkits based on PaddlePaddle,,2,,paddlepaddle
textanalyzer,Text Data Analysis module for analyzing text data in tabular data.,https://github.com/DataLama/textanalyzer,2,,paddlepaddle
vision-ui,A line-oriented image diff algorithm.,https://github.com/Meituan-Dianping/vision-ui,2,,paddlepaddle
fleet-lightning,,https://github.com/PaddlePaddle/Fleet,2,,paddlepaddle-gpu
fleet-x,,https://github.com/PaddlePaddle/Fleet,2,,paddlepaddle-gpu
paddle-aistudio-gpu,,https://aistudio.baidu.com/,2,,paddlepaddle-gpu
paddle-edl,Paddle EDL Package,https://github.com/PaddlePaddle/edl,2,,paddlepaddle-gpu
paddle-fl,Privacy-Preserving Deep Learning Package Based on PaddlePaddle.,https://github.com/PaddlePaddle/PaddleFL,2,,paddlepaddle-gpu
paddle-rec,paddle-rec,https://github.com/PaddlePaddle/PaddleRec,2,,paddlepaddle-gpu
paddlepalm,"a flexible, general and easy-to-use NLP large-scale pretraining and multi-task learning framework.",https://github.com/PaddlePaddle/PALM,2,,paddlepaddle-gpu
paddletools,,https://github.com/LKKlein/PaddleTools,2,,paddlepaddle-gpu
paddlevideo,Awesome Video toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleVideo,2,,paddlepaddle-gpu
ppvideo,Awesome Video toolkits based on PaddlePaddle,https://github.com/PaddlePaddle/PaddleVideo,2,,paddlepaddle-gpu
EISeg,交互式标注软件,https://github.com/PaddleCV-SIG/EISeg,2,,paddleseg
iann,交互式标注软件,https://github.com/PaddleCV-SIG/iann,2,,paddleseg
paddlexrest,a toolkit for providing restful api of PaddleX,,2,,paddlex
paddlehelix,,,2,,pgl
paddlepaddle,Parallel Distributed Deep Learning,,2,,recordio
paddlepaddle-gpu,Parallel Distributed Deep Learning,,2,,recordio
ivystar,python tools package of ivystar,,3,,ivystar
id-segmenter,Self Rolled ID Document Segmenter works for IDs in the wild,,3,,sabhi-utils
idsegmenter,Self Rolled ID Document Segmenter works for IDs in the wild,,3,,sabhi-utils
matatron,Document Verifier,,3,,sabhi-utils
qashi,Self Rolled ID Document Segmenter works for IDs in the wild,,3,,sabhi-utils
sabhidoctools,Document Verifier,,3,,sabhi-utils
sabhixreader,"Self rolled utils to QRCodes, Barcodes and MRZs",,3,,sabhi-utils
paddlenlp,PaddlePaddle NLP Model Core Library,https://github.com/PaddlePaddle/PaddleNLP,3,,paddlefsl
