package,layer,framework
pybpod,5,pytorch
debandshit,5,pytorch
optimizer-ratings,5,pytorch
timemachines,5,pytorch
latechclfl2020besnier,5,pytorch
westac-parlaclarin-pipeline,5,pytorch
NREL-reVX,6,pytorch
monk-cls-test1,2,mxnet
treform,2,mxnet
onnx-mxnet,2,mxnet
tmnt-WELLNER,2,mxnet
monk-obj-test1,2,mxnet
monk-cpu-test,2,mxnet
minpy,2,mxnet
monk-cpu,2,mxnet
monk-gluon-cpu-test,2,mxnet
turicreate,2,mxnet
robotathome,2,mxnet
elit,2,mxnet
monk-gluon-cpu,2,mxnet
datawig,2,mxnet
gxdltk,2,mxnet
monk-gluon-cuda102-test,2,mxnet
mxnet-to-coreml,2,mxnet
huf-aicv-detor,2,mxnet
monk-gluon-cuda102,2,mxnet
cnstd,2,mxnet
tmnt-cu101,2,mxnet
mxnet-model-server,2,mxnet
pyTextMiner,2,mxnet
monk-cuda102,2,mxnet
mxnet-coreml-converter,2,mxnet
TKT,2,mxnet
sockeye,2,mxnet
mxboard,2,mxnet
XKT,2,mxnet
openml-mxnet,2,mxnet
wikifaces,2,mxnet
gluonts,2,mxnet
monk-cuda92,2,mxnet
nprintml,2,mxnet
spaco,2,mxnet
vineyard-ml,2,mxnet
tensorly,2,mxnet
monk-cuda101-test,2,mxnet
mxnet-donkeycar,2,mxnet
monk-colab,2,mxnet
cnocr,2,mxnet
SDDect,2,mxnet
sktmls,2,mxnet
ai-graphics,2,mxnet
monk-test1,2,mxnet
wikifaces-tford5,2,mxnet
tmnt,2,mxnet
h3mlcore,2,mxnet
ai-graphics-gpu,2,mxnet
Codemao,2,mxnet
mxop,2,mxnet
monk-cuda92-test,2,mxnet
mlmodels,2,mxnet
bert-embedding,2,mxnet
monk-gluon-cuda92,2,mxnet
model-performance-investigator,2,mxnet
forecastga,2,mxnet
SDD,2,mxnet
monk-gluon-cuda92-test,2,mxnet
monk-gluon-cuda101,2,mxnet
atlinter,2,mxnet
trueface-server,2,mxnet
mxnet-model-server,3,mxnet
ndlearn,3,mxnet
corcondia,3,mxnet
cca-zoo,3,mxnet
sockeye-serving,3,mxnet
ocrpackage,3,mxnet
ocrpack,3,mxnet
mltronsAutoDataPrep,3,mxnet
cell2cell,3,mxnet
pykale,3,mxnet
board-game-recommender,3,mxnet
cpsplines,3,mxnet
iimpute,3,mxnet
mlmodels,3,mxnet
yonlu,3,mxnet
pyvidcompress,3,mxnet
spaco,3,mxnet
tensorly-quantum,3,mxnet
sockeye-serving,4,mxnet
fleet-lightning,2,paddlepaddle
fleet-x,2,paddlepaddle
paddle-edl,2,paddlepaddle
paddle-fl,2,paddlepaddle
paddle-propeller,2,paddlepaddle
paddle-quantum,2,paddlepaddle
paddle-rec,2,paddlepaddle
paddle-serving-client,2,paddlepaddle
paddle-serving-server,2,paddlepaddle
paddle-serving-server-gpu,2,paddlepaddle
paddleocr-sabhi,2,paddlepaddle
paddlepalm,2,paddlepaddle
paddlevideo,2,paddlepaddle
ppvideo,2,paddlepaddle
sabhiocr-server,2,paddlepaddle
ddparser,2,paddlepaddle
fleet-rec,2,paddlepaddle
idsegmenter,2,paddlepaddle
matatron,2,paddlepaddle
paddle-aistudio,2,paddlepaddle
paddle-tokenizer,2,paddlepaddle
ppcd,2,paddlepaddle
pydp,2,paddlepaddle
pyunit-ner,2,paddlepaddle
qashi,2,paddlepaddle
rasa-contrib,2,paddlepaddle
sabhi-utils,2,paddlepaddle
sabhidoctools,2,paddlepaddle
sabhiocr-module,2,paddlepaddle
textanalyzer,2,paddlepaddle
vision-ui,2,paddlepaddle
paddle-aistudio-gpu,2,paddlepaddle
paddletools,2,paddlepaddle
sabhiocr-server,2,paddlepaddle
paddle-serving-server,3,paddlepaddle
paddle-serving-server-gpu,3,paddlepaddle
id-segmenter,3,paddlepaddle
idsegmenter,3,paddlepaddle
matatron,3,paddlepaddle
qashi,3,paddlepaddle
HEBO-mindspore,2,mindspore
READ-mindspore,2,mindspore
tinyms,2,mindspore
